name,cuisine,neighborhood,price,atmosphere,reservation,rating,open_for,tasting_menu_ind,note
1300 on Fillmore,Contemporary Southern,Fillmore,$$$,Vibrant & sophisticated,Yes :: OT,7 / 10,"D, L & BR",N/A,"Not a bad place, but wouldn't care to go back or pay the full price for it. Good service."
15 Romolo,Contemporary American,North Beach,$$,Vibrant & friendly,No,8 / 10,D & BR,N/A,A fantastic place for brunch. Awesome service comes with great food and banging price tags.
1601 bar & kitchen,Pan-Asian Tapas,SoMa,$$$,Vibrant & sophisticated,Yes :: SM,8.5 / 10,D,N/A,A great new addition to SoMa.. and the price is just right too! Recommendations: Hopper and Ceylon tea semifreddo.
1760,Californian-Italian,Nob Hill,$$$,Vibrant & sophisticated,Yes :: OT,9 / 10,D,N/A,"A casual brainchild of people behind Acquerello. Their sea urchin bucatini and corn soup ravioli were just.. beyond this world. Woo.. definitely, duck sandwich."
20 Spot,Californian,Mission,$$$,Vibrant & hip,No,9 / 10,D,N/A,What a gem... so glad this spot has opened. amazing food with great selection on wines.
20th Century Cafe,Café,Hayes Valley,$$,Sophisticated,No,9 / 10,L,N/A,What a great addition to Hayes Valley. Their Russian Honey Cake is to die for.. It's a bit pricey.
25 Lusk,Contemporary American,Mission Bay,$$$$,Sophisticated,Yes :: OT,8 / 10,"D, L & BR",Yes ($85),"This place was a lot more upscale than I thought.. It serves great dishes. Try the tasting, I find it a very good value."
4505 Meats,Burgers,Ferry Building (R&S),$$,Food Truck-licious,No,8.5 / 10,L,N/A,"Delicious meats.. burgers, sausages.. whatever. their chicharrones are absolutely scrumptious."
A 16,Contemporary Italian,Marina,$$$,Vibrant & sophisticated,Yes :: OT,7 / 10,"D, L & BR",N/A,A popular Italian spot. It can be both friendly and romantic. It gets very popular during the weekend.
Abacus,Contemporary Chinese,Western Addition,$$,Cozy & hip,Yes :: OT,7 / 10,D,N/A,A fun place. it's an upscale Chinese place with a hip twist. Pork shoulder was great.
Absinthe Brasserie,Contemporary American,Hayes Valley,$$$,Vibrant & romantic,Yes :: OT,6 / 10,"D, L & BR",N/A,"If you like cocktails, go for it. Food isn't bad, but it's surely hyped up. Touristic."
Acquerello,Fine Dining,Nob Hill,$$$$$,Sophisticated & romantic,Yes :: OT,8 / 10,D,Yes ($135 +$95),"Not bad, but not that amazing either. Good for one time. desserts were really weird."
Albona Ristorante Istriano,Istriano,North Beach,$$$,Cozy & romantic,Yes :: US,9 / 10,D,N/A,This place is really fantastic.. you will definitely see things you've never seen before (in a good way). do try their gnocchi! 
Alembic,Contemporary American,Upper Haight,$$$,Vibrant,No,8.5 / 10,D & L,N/A,"Upper Haigh will soon to be very hip.. starting with nice spots like Alembic, Magnolia and Sparrow.. looking forward to more of these great venues!"
aliment,Contemporary American,Nob Hill,$$$,Cozy & sophisticated,No,8 / 10,D,N/A,A reasonably priced place. Their dishes were somehwat on the heavy side but very delicious. 
Ame,Fine Dining,SoMa ,$$$$,Sophisticated & Intimate,Yes :: OT,8 / 10,D,Yes ($89+$65),Best black cod i've ever had. 
Ananda Fuara,Vegetarian/Vegan,Civic Center,$,Casual & spiritual(?),No,7 / 10,D & L,N/A,"The food here is definitely decent, but if you have a problem with cult-related resaurants, like this one, you are not missing that much out."
Andalu,Spanish tapas,Mission,$$$,Vibrant & busy,Yes :: OT & S,7 / 10,D & L,N/A,"Not the most consistant place.. some dishes were quite good, some were questionable. Do get Savored's 30%, that helps."
Aperto,Contemporary Italian,Potrero Hill,$$,Cozy & quaint,Yes :: OT,8 / 10,"D, L & BR",N/A,Really enjoyed our lunch here.. it was a lot better than my expectations. It's also very reasonably priced too. Check this place out if you're in the area. 
AQ Restaurant,Californian-American,SoMa,$$$$,Vibrant & sophisticated,Yes :: OT,7 / 10,D & BR,Yes ($68+$45),Famous for their seasonal menu. Some of dishes have been quite amazing.
Arabian Nights,Mediterranean,Mission,$$$,Vibrant & dim,Yes :: OT,7 / 10,"D, L & BR",N/A,"They are trying really hard to promote the restaurant. But, honestly, I just don't see how they will survive the Mission. They need to pump everything up."
Arlequin Café,Café,Hayes Valley,$$,Café-like & busy,No,7 / 10,L & BF,N/A,Two things: Thai spiced roasted chicken & Espresso beignet. Lamb burger is pretty good too.
Atelier Crenn,Fine Dining,Marina,$$$$$,Intimate & sophisticated,Yes :: OT,8 / 10,D,Only ($95+$85 or $160+$150),"Poetic Culinaria. Visually stunning.. dishes were great too, but not stunning. Worth the price. Amazing service."
Aurea,Contemporary American,Nob Hill,$$$$,Vibrant & intimate,Yes :: OT,6.5 / 10,"D, L & BR",N/A,Mediocre dishes with high price tags.. won't recommend it. 
Aziza,Californian-Moroccan,Outer Richmond,$$$$,Sophisticated & dim(?),Yes :: OT,9 / 10,D,Yes ($95),A Superb place. Even the pastry chef is rocking.. a must-try sf spot.
B 44,Spanish tapas,Financial District,$$$,Vibrant & touristic,Yes :: OT,6 / 10,D & L,N/A,"It's an okay place. The dishes weren't bad, I just know better places to go to."
Baker & Banker,Californian-American,Pacific Heights,$$$$,Intimate & sophisticated,Yes :: OT,8 / 10,D & BR,Yes ($55+$55),Run by husband & wife.. fantastic food and superb service. Brunch is also a must-try. 
Bar Agricole,Contemporary American,SoMa,$$$$,Vibrant & epic interior,Yes :: OT,7 / 10,D & BR,N/A,"If I drank, I would give them more points.One of the best cocktail places. Food is great too."
Bar Bambino,Contemporary Italian,Mission,$$$$,Intimate & sophisticated,Yes :: OT,8 / 10,D & BR,N/A,Great food and service. they open until late too. It's in an unexpected area.. beautiful and sophisticated.
Bar Crudo,Seafood (Contp. American),NoPA,$$$,Vibrant & hip,Yes :: OT,7 / 10,D,N/A,Kick-ass happy hour. Delightfully made and served seafood place. It gets quite busy.
Bar Jules,Californian-American,Hayes Valley,$$$,Carefree & hipster,Yes for D,8 / 10,"D, L & BR",N/A,"It's a gem. Totally unpretentious, and they also serve great dishes. Menu changes daily."
Bar Tartine,Californian-American,Mission,$$$,Sophisticated & trendy,Yes :: OT,8 / 10,D & BR,N/A,Great place! they are definitely adventurous with their ingredients. It's also a fun spot!
Barbacco,Italian,Financial District,$$,Vibrant,Yes :: OT,8 / 10,D & L,N/A,Oh yes.. one of my regular spots. One of the best bang for the buck places. A must-try.
Basil Canteen Thai,Thai,SoMa,$$,Vibrant,Yes :: OT,7.5 / 10,D,N/A,"A gentrified Thai place. The dishes taste good, but they also taste like they are for non-Thai people."
Bask,Contemporary-Basque,North Beach,$$$,Cozy & intimate,Yes :: OT,8 / 10,"D, L & BR",N/A,Great food and service.. the food here is quite delicious and different. Try it!
Beast and the Hare,Contemporary American,Mission,$$$,Vibrant & hip,Yes :: OT,7 / 10,D & Br,N/A,"An unassuming great spot for friendly get-togethers. Food is is pretty good, not amazing. (S)"
Benu,Fine Dining,SoMa,$$$$$,Sophisticated & Intimate,Yes :: OT & S,10 / 10,D,Yes ($160 +$110),My #1. Everything here is superb.. and the food was just sublime.
Beretta,Italian,Mission,$$,Loud & Hip,No,6 / 10,D & BR,N/A,"Super-duper popular.. food isn't bad there, but i don't consider it worth the wait. Open until very late."
Betelnut,Contemporary Asian,Marina,$$$,Vibrant & hip,Yes : OT,7.5 / 10,"D, L & BR",N/A,"A good place for pan-Asian cuisine. It's quite popular, but always seems to have spots on Opentable. So, go for it."
Bin 38,Contemporary American,Marina,$$$,Romantic & sophsticated,Yes :: OT,6 / 10,D & BR,N/A,Mediocre food and poor service. Try here just for the wine selection.. the food is just okay.
Bisou,Contemporary French,Castro,$$$,Loud & Hip,Yes :: OT,6 / 10,"D, L & BR",N/A,Marginal. A typical hyped up Castro place. The prie-fixe menu for happy hour is a good deal though.
Bistro Aix,Contemporary French,Marina,$$$,Sophisticated,Yes :: OT,8 / 10,D,N/A,One of my favorite French spots in SF. It has all the reasons to try it.
Bistro Central Parc,Contemporary French,Western Addition,$$$,Cozy & friendly,Yes :: OT,8 / 10,D & BR,N/A,Fantastic french food with reasonable prices. Great service and atmosphere as well. Reserve in advance.
BIX,Contemporary American,North Beach,$$$$,Vibrant,Yes :: OT,7 / 10,D & L,N/A,Very famous place. Serve lunch only on Fridays. I still need to try their dinner. It's a classic SF place.
Blowfish Sushi To Die For,Contemporary Japanese,Mission,$$$,Vibrant & Hip,Yes :: OT,8 / 10,D & L,N/A,What a great place. A great menu for everything you'd ask for. Ostrich appetizer and To Die For rolls were amazing.
Blue Barn Gourmet,Sandwiches,Marina,$$,Vibrant,No,8 / 10,L,N/A,Skirt Sando and soup really rocked my world.
Bouche,Californian-French,Union Square,$$$,Sophisticated & Intimate,Yes :: OT,8 / 10,D,N/A,Great contemporary French place.. really awesome decor too. Desserts always seem to fall a bit short compared to others.
Boulevard,Contemporary French,Embarcaderro,$$$$,Sophisticated & intimate,Yes :: OT,9 / 10,D & L,N/A,"A great restaurant.. dishes are pricey but this place really will give you a great time. Great service, food and atmosphere."
Boxing Room,Californian-Southern,Hayes Valley,$$$$,Sophisticated & vibrant,Yes :: OT,8 / 10,"D, L & BR",N/A,Can't go wrong with this place. Dirty rice & fried alligator are way to go.. and some more. Great beer selection.
Brenda's French Soul Food,Southern,Tenderloin,$$,Vibrant,No,7 / 10,"D, L & BR",N/A,Sf's one of most popular restaurants.. I think the food actually lives up to the expectations. Crawfish beignets..
Burma Superstar,Burmese,Inner Richmond,$$,Crowded,Yes by Phone,7 / 10,D & L,N/A,"Super popular. make sure to be able to wait for 1-2 hours on a busy night. Food is great, not amazing. A bit hyped up."
Burritt Room & Tavern,Gastropub - American,Union Square,$$$$,Intimate,Yes :: OT,8.5 / 10,D,N/A,"This place is a total hidden gem. It's not cheap, but serves really great cocktails and food is just purely great."
Cafe Asia,Contemporary Asian,Civic Center,$$,Aerie & simple,No ,7 / 10,L,N/A,"A solid place. If you happened to be at the Asian Museum, try this place. The food was surprisingly good."
Cafe Bun Mi,Vietnamese,Inner Richmond,$$,Hole in the wall,No,8 / 10,L,N/A,Cash only. Their duck bahn mi is what makes it worth the trip there... yuuuum!
Cafe Claude,Contemporary French,Financial District,$$$,Cozy & intimate,Yes :: OT,7 / 10,D & L,N/A,"Good place. I remember the cozy atmosphere, not necessarily the food. Certainly not bad food choices, just not that memorable."
Cafe de le presse,French,Financial District,$$$,Cozy & intimate,Yes :: OT,7.5 / 10,"D, L & BR",N/A,Not bad! Enjoyed my meal there. it's very traditoinally French.
Cafe Des Amis,Contemporary French,Cow Hollow,$$$,Sophisticated & intimate,Yes :: OT,7 / 10,"D, L & BR",N/A,"It's a beautiful place. The food is very solid, not amazing though. But worth everything for the beautiful decor and area."
Cafe Jacqueline,French (Souffleé),North Beach,$$$$,Sophisticated,Yes by Phone,8.5 / 10,D,N/A,You must try this place before the chef passes.
Campton Place,Fine Dining,Union Square,$$$$,Sophisticated & Intimate,Yes :: OT,8 / 10,All (Hotel),Yes ($95+$85 or $105),Indian inspired fine dining place. The chef really knows what he's doing. I still need to try their dinner. A bit slow service.
Canela,Spanish tapas,Castro,$$,Vibrant & cozy,Yes :: OT,6 / 10,D & BR,N/A,"It's not a bad place, especially for the neighborhood.. but still have some catch-up to do compared to others."
Canteen,Californian-Amereican,Nob Hill,$$$,Cozy & intimate,Yes :: OT,8 / 10,D,Prie-Fixe menu,"Used to serve brunch on Sundays.. good thing they removed it. Dinner here is fantastic, but brunch was just marginal. "
Capannina,Italian,Marina,$$$,Cozy & intimate,Yes :: OT,8 / 10,D,N/A,It's a great neighborhood Italian spot. Their Pappardelle wildboar ragu is great.. also squid ink risotto with scallops and lobster bisque!! it's quite popular.
central kitchen,Californian-American,Mission,$$$$,Sophisticated & hip,Yes :: OT,9 / 10,D,Yes ($89+$50),Great food and service. they open until late too. It's in an unexpected area.. beautiful and sophisticated. 'Sick' halibut dish. Brunch was delightful.
